&;e t
ägarbolag;e:1 g a r b U:2 l a: g
ägarbolagen;e:1 g a r b U:2 l a: g e n
ägarbostäder;e:1 g a r b U:2 s t e: d { r
agardh;a:1 g a2 rd
ägardirektiv;e:1 g a rd i r e k t i:2 v
ägardrivna;e:1 g a rd r i:2 v n a
ägarflykt;e:1 g a r f l y2 k t
ägargarnityret;e:1 g a r g a rn i t y:2 r e t
ägarkommuner;e:1 g a r k o m u:2 n { r
ägarkommunerna;e:1 g a r k o m u:2 n { rn a
ägarkommunernas;e:1 g a r k o m u:2 n { rn a s
ägarkompanjoner;e:1 g a r k o m p a n j U:2 n { r
ägarkunder;e:1 g a r k u2 n d { r
ägarkunderna;e:1 g a r k u2 n d { rn a
ägarmajoritet;e:1 g a r m a j o r i t e:2 t
ägarministern;e:1 g a r m i n i2 s t { rn
ägarmöte;e:1 g a r m &:2 t e
ägarmötet;e:1 g a r m &:2 t e t
ägarparet;e:1 g a r p a:2 r e t
ägarpolitik;e:1 g a r p U l i t i:2 k
ägarskap;e:1 g a r s k a:2 p
ägarskapet;e:1 g a r s k a:2 p e t
ägarskifte;e:1 g a r S i2 f t e
ägarsläkt;e:1 g a r s l e2 k t
ägarstyrning;e:1 g a r s t y:2 rn i N
ägarstyrningen;e:1 g a r s t y:2 rn i N e n
agata;a g a:1 t a
ågatan;o:1 g a:2 t a n
agathon;a1 g a t o n
agatonovic;a g a t o n o:1 v i k
agavesirap;a g a:1 v e s i:2 r a p
agbazahou;a g b a s U:1
agda;a1 g d a
agder;a1 g d { r
agency;e1 j dZ e n s y
agendas;a g e1 n d a s
agendor;a g e1 n d o r
agentäventyret;a g e1 n t e:2 v e n t y: r e t
agentgeniet;a g e1 n t S e n i:2 e t
agentkontakter;a g e1 n t k o n t a2 k t { r
agentmarknaden;a g e1 n t m a2 r k n a d e n
agentorganisation;a g e1 n t o r g a n i s a tj U:2 n
agentrollen;a g e1 n t r o2 ll e n
agentroman;a g e1 n t r U m a:2 n
agentromaner;a g e1 n t r U m a:2 n { r
agents;a g e1 n t s
agentskap;a g e1 n t s k a:2 p
agenturverksamhet;a g e n t u:1 r v {2 r k s a m h e: t
ageranden;a g e:1 r a n d e n
äggades;e1 gg a d e s
äggbehandling;e1 gg b e h a2 n d l i N
äggblandningen;e1 gg b l a2 n d n i N e n
äggblåsa;e1 gg b l o:2 s a
äggblåsor;e1 gg b l o:2 s o r
äggbranschen;e1 gg b r a2 n S e n
äggcell;e1 gg s e2 ll
agge;a1 gg e
agger;a1 gg { r
äggformade;e1 gg f o2 r m a d e
äggfritt;e1 gg f r i2 tt
äggjakt;e1 gg j a2 k t
äggkartonger;e1 gg k a r t o2 NN { r
äggklyftor;e1 gg k l y2 f t o r
äggkoppar;e1 gg k o2 pp a r
äggkoppsproblemet;e1 gg k o p s p r o b l e:2 m e t
äggkoppstjuvarna;e1 gg k o p s tj u:2 v a rn a
äggläggning;e1 gg l e2 g n i N
äggläggningsrör;e1 gg l e g n i N s r 9:2 r
äggleveranser;e1 gg l e v e r a2 n s { r
äggmålning;e1 gg m o:2 l n i N
äggmannen;e1 gg m a2 nn e n
äggnäringen;e1 gg n {:2 r i N e n
äggnudlar;e1 gg n u:2 d l a r
äggpackeri;e1 gg p a kk e r i:2
äggpackeriet;e1 gg p a kk e r i:2 e t
äggprickning;e1 gg p r i2 k n i N
äggproducenter;e1 gg p r o d u s e2 n t { r
äggproducenterna;e1 gg p r o d u s e2 n t { rn a
äggprodukter;e1 gg p r o d u2 k t { r
äggproduktionen;e1 gg p r o d u k tj U:2 n e n
äggrätter;e1 gg r e2 tt { r
aggredior;a g r e:1 d i o r
aggressionens;a g r e S U:1 n e n s
aggressionsbrott;a g r e S U:1 n s b r o2 tt
aggressionsnivå;a g r e S U:1 n s n i v o:2
äggsamlarna;e1 gg s a2 m l a rn a
äggsås;e1 gg s o:2 s
äggstad;e1 gg s t a:2 d
äggstaden;e1 gg s t a:2 d e n
äggstanning;e1 gg s t a2 nn i N
äggstanningen;e1 gg s t a2 nn i N e n
äggstocks;e1 gg s t o2 k s
äggstocksväggen;e1 gg s t o k s v e2 gg e n
äggtäkten;e1 gg t e2 k t e n
ägguppköpscentral;e1 gg u pp tj &: p s s e n t r a:2 l
äggvitenatur;e1 gg v i: t e n a t u:2 r
agham;a1 g h a m
agiaxrally;a1 g i a k s r a2 ll y
agila;a g i:1 l a
agilitynybörjarkurs;a g i1 l i t y n y:2 b 9 r j a r k u r s
agilitytävling;a g i1 l i t y t e:2 v l i N
agilitytävlingen;a g i1 l i t y t e:2 v l i N e n
agilt;a g i:1 l t
agit;a1 g i t
agitationstal;a g i t a tj U:1 n s t a:2 l
agiteringen;a g i t e:1 r i N e n
ågk;o: g e: k o:1
agnade;a1 N n a d e
agnes;a1 N n e s
agnès;a N n e:1 s
agnesa;a1 N n e s a
agnesbäck;a1 N n e s b e2 kk
agnete;a N n e:1 t e
agnetha;a N n e:1 t a
agnieszka;a N n i e1 s k a
agnostiska;a g n o1 s t i s k a
agö;a:1 g &:2
ägobostäder;e:1 g U b U:2 s t e: d { r
ägoförhållandena;e:1 g U f 9 h o2 ll a n d e n a
ägokunder;e:1 g U k u2 n d { r
ågot;o:1 g o t
ägoväg;e:1 g U v e:2 g
ägovägar;e:1 g U v e:2 g a r
agra;a:1 g r a
agrarförbundet;a:1 g r a r f 9 b u2 n d e t
agrarpartier;a:1 g r a r p a r t i:2 { r
agrarpopulismen;a:1 g r a r p o p u l i2 s m e n
agras;a:1 g r a s
agrell;a g r e1 ll
agrella;a g r e1 ll a
agria;a1 g r i a
agricolahallen;a1 g r i k o l a h a2 ll e n
agriculture;{1 g r i k a2 l tj 9 r
agrikulturell;a1 g r i k u l t u r e2 ll
agrimarket;a1 g r i m a2 r k e t
agrimarkets;a1 g r i m a2 r k e t s
agriturismo;a1 g r i t U r i:2 s m o
agrolog;a g r o l o:1 g
agronomen;a g r o n o:1 m e n
agronomi;a g r o n o m i:1
agronomie;a g r o n o m i:1 e
aguero;a g U e:1 r o
agüero;a g U e:1 r o
aguilera;a g u l e:1 r a
agurk;a g u1 r k
agustin;a g u s t i:1 n
agustín;a g u s t i:1 n
agut;a g u:1 t
agyeman;a g j e: m a n
agyemans;a g j e:1 m a n s
agyiri;a g y1 i r i
ah;a1 h
ahaa;a h a:1
ahadi;a h a:1 d i
ahervo;a1 h e r v o
ähhh;{1 h
ahistus;a1 h i s t U s
ahjoniemi;a1 h j o n i2 e m i
ahkera;a1 h k e r a
ahkila;a1 h k i l a
ahläng;a:1 l e2 NN
ahlbäckhemmet;a:1 l b e kk h e2 mm e t
ahlbäcks;a:1 l b e k s
ahlbeck;a:1 l b e2 kk
ahlbeckhemmet;a:1 l b e kk h e2 mm e t
ahlbecks;a:1 l b e2 k s
ahlbecksalen;a:1 l b e kk s a:2 l e n
ahlbeckshuset;a:1 l b e k s h u:2 s e t
ahlbeckssalen;a:1 l b e k s s a:2 l e n
ahlbergs;a:1 l b {2 r i s
ahlefeldt;a:1 l e f e2 l t
ahlen;a l e:1 n
ahlén;a l e:1 n
ahlenius;a l e1 n j u s
åhlens;o l e:1 n s
ahlfors;a:1 l f o2 r s
åhlgren;o:1 l g r e:2 n
ahlholmen;a:1 l h o2 l m e n
ahlin;a l i:1 n
ahlins;a l i:1 n s
ahlkulla;a:1 l k u2 ll a
ahlkvist;a:1 l k v i2 s t
ahllund;a:1 l l u2 n d
ahlmark;a:1 l m a2 r k
ahlnäs;a:1 l n e:2 s
ahlö;a:1 l &:
ahlqvists;a:1 l k v i2 s t s
åhls;o:1 l s
ahlstrom;a:1 l s t r U m
ahlströmsgatan;a:1 l s t r & m s g a:2 t a n
ahlsund;a:1 l s u2 n d
ahltihåopa;a1 l t i h o2 U p a
ahlund;a:1 l u2 n d
ahlvar;a:1 l v a r
ahly;a:1 l y
ahma;a1 h m a
ahmas;a1 h m a s
ahmet;a1 h m e t
ahndoril;a n d o r i1 ll
åhnej;o:1 n e2 jj
ahnger;a1 NN { r
ahnlid;a:1 n l i:2 d
ahonpää;a1 h o n p {:2
ahopaja;a1 h o p a2 j a
åhör;o:1 h 9:2 r
åhörares;o:1 h 9:2 r a r e s
ahoure;a U r e:1
ahqvist;a:1 l k v i2 s t
ahre;a1 h r e
ahrner;a:1 rn { r
ahs;a1 h s
åhs;o: h o: e1 ss
ahslved;a:1 l s v e:2 d
ähtärin;{1 h t { r i n
ähtärinjärvi;{1 h t { r i n j {2 r v i
ahtisaarirapporten;a1 h t i s a: r i r a p o2 r t e n
ähtu;{1 h t U2
ahuashiyacu;a h u a S i j a:1 k u
ahvaz;a h v a:1 s
ahven;a1 h v e n
ahvenanmaa;a1 h v e n a n m a:2
ahveniset;a1 h v e n i s e t
ahvenkoski;a1 h v e n k o2 s k i
ahvensalmi;a1 h v e n s a2 l m i
ahventen;a1 h v e n t e n
ahvenvaara;a1 h v e n v a:2 r a
ai;a:1 i:2
äi;e:1 i:2
åibf;o: ? i: b e: ? e1 ff
åid;o1 i d
aidan;a1 i d a n
aidanpää;a1 j d a n p {:2
aidaväv;a1 j d a v e:2 v
aiden;a1 i d e n
aidensfield;e1 j d e n s f i:2 l d
aidi;a j d i
äidit;{1 i d i t
aidoo;a1 i d U:
aidsdiagnosen;e1 j d s d i a g n o:2 s e n
aidsfallen;e1 j d s f a2 ll e n
aidssjuk;e1 j d s S u:2 k
aidsstödcentralen;e1 j d s s t &: d s e n t r a:2 l e n
aidt;a1 i d t
aiello;a i e1 ll o
aif;a: i: e1 ff
aiheesta;a1 j h e: s t a
aijala;a1 i j a l a
aika;a1 j k a
aikaa;a1 i k a:
aikakauslehti;a1 i k a k a U s l e2 h t i
aikamme;a1 i k a mm e
aikataulu;a1 i k a t a2 U l U
aikidoföreningen;a i k i:1 d o f 9 r e:2 n i N e n
aikidoutövarna;a j k i:1 d o u:2 t &: v a rn a
aikku;a1 j kk U
aikoja;a1 i k o j a
aikuiseksi;a1 i k U i s e2 k s i
aikuislinja;a1 i k U i s l i2 n j a
aikuisopisto;a1 j k U j s o p i2 s t o
aikuisten;a1 i k U i2 s t e n
ailan;a1 i l a n
ailey;e1 j l i:
aileys;e1 j l i s
aillet;a1 i l e t
ailo;a1 i l o
ailus;a1 i l U s
aimal;a1 i m a l
aime;e1 mm
aimi;a1 i m i
ain;e1 i n
ainala;a1 i n a l a
ainalinpää;a1 j n a l i n p {:2
ainoa;a1 i n o a
ainola;a1 i n o l a
ainslie;e1 j n s l i
aioli;a i o:2 l i
aiolin;a i o:1 l i n
aipia;a1 j p i a
air;e:1 r
airamo;a1 i r a m o
airamos;a1 i r a m o s
airax;a1 i r a k s
airbnb;e:1 r b i:2 e nn b i:
aire;a1 i r e
aires;a1 j r e s
airikkala;a1 i r i kk a l a
airila;a1 i r i l a
airiola;a1 i r i o2 l a
airistola;a1 i r i s t o l a
airiston;a1 i r i s t o n
airix;a1 j r i k s
airliens;e:1 r l a2 j n s
airline;e:1 r l a2 j n
airplane;e:1 r p l e2 j n
airporttransfers;e:1 r p o r t t r {2 n s f 9: r s
airsoft;e:1 r s o2 f t
airsoftvapen;e:1 r s o f t v a:2 p e n
aisha;a i1 SS a
äiti;{1 i t i
äitiä;{1 i t i {
aitio;a1 i t i o
aito;a1 i t o
aitoaho;a1 j t o a2 h o
aitokari;a1 i t o k a2 r i
aiv;a: ? i: v e:1
ajaa;a1 j a:
ajalin;a j a l i:1 n
ajan;a1 j a n
ajanko;a1 j a n k o
ajankohtainen;a1 j a N k o2 h t a j n e n
ajanvaraus;a1 j a n v a2 r a U s
ajassa;a1 j a ss a
ajattelun;a1 j a tt e l U n
ajatuksia;a1 j a t U k s i a
ajax;a1 j a k s
ajaxs;a1 j a k s
ajaxspelare;a1 j a k s s p e:2 l a r e
ajdå;a1 jj d o2
ajelo;a1 j e l o
ajikic;a j i:1 i:2 k
ajillos;a h i1 jj o s
ajkic;a1 j k i tj
ajour;a S U:1 r
ajuniorer;a:1 j u n i U:2 r { r
ajvide;a1 jj v i:2 d e
ajz;a: j i: s e:1 t a
ak;a:1 k o:2
aka;a:1 k o: ? a:
akademen;a1 k a d e m e n
akademens;a k a d e:1 m e n s
akademierna;a k a d e m i:1 { rn a
akademifolket;a k a d e m i:1 f o2 l k e t
akademiforskare;a k a d e m i:1 f o2 r s k a r e
akademiforum;a k a d e m i:1 f U:2 r u m
akademihuset;a k a d e m i:1 h u:2 s e t
akademihusets;a k a d e m i:1 h u:2 s e t s
akademikercentralen;a k a d e:1 m i k { r s e n t r a:2 l e n
akademilag;a k a d e m i:1 l a:2 g
akademilaget;a k a d e m i:1 l a:2 g e t
akademiledamöter;a k a d e m i:1 l e:2 d a m &: t { r
akademiledamöterna;a k a d e m i:1 l e:2 d a m &: t e n a
akademilektor;a k a d e m i:1 l e2 k t o r
akademiprofessor;a k a d e m i:1 p r o f e2 ss o r
akademis;a k a d e m i:1 s
akademisalen;a k a d e m i:1 s a:2 l e n
akan;a1 k a n
åkandet;o:1 k a n d e t
akans;a1 k a n s
akar;a k a:1 r
åkas;o:1 k a s
äkäslompolo;{1 k { s l o2 m p o l o
akatemia;a1 k a t e m i a
åkattraktionen;o:1 k a t r a k tj U:2 n e n
åkattraktioner;o:1 k a t r a k tj U:2 n { r
akava;a1 k a v a
akavaanslutna;a1 k a v a a2 n s l u: t n a
akavachefen;a1 k a v a S e:2 f e n
akavadirektör;a1 k a v a d i r e k t 9:2 r
akavadirektören;a1 k a v a d i r e k t 9:2 r e n
akavamedlemmar;a1 k a v a m e:2 d l e mm a r
akavamedlemmarna;a1 k a v a m e:2 d l e mm a rn a
akavamedlemmarnas;a1 k a v a m e:2 d l e mm a rn a s
akavas;a1 k a v a s
åkäventyret;o:1 k e:2 v e n t y: r e t
akbari;a k b a:1 r i
ake;a1 k e
aker;a:1 k { r
åkerarealer;o:1 k { r a r e a:2 l { r
åkerärtor;o:1 k { r {2 r t o r
åkerback;o:1 k { r b a2 kk
åkerbock;o:1 k { r b o2 kk
åkerbruket;o:1 k { r b r u:2 k e t
åkerhielm;o:1 k { r j e2 l m
åkeriägaren;o: k { r i:1 e:2 g a r e n
åkeriföretaget;o: k e r i:1 f 9:2 r e t a: g e t
åkerlandskap;o:1 k { r l a n d s k a:2 p
åkerlandsvägen;o:1 k { r l a n d s v e:2 g e n
åkerlind;o:1 k { r l i2 n d
akerlund;a:1 k { r l u2 n d
åkerman;o:1 k { r m a2 nn
åkermarck;o:1 k { r m a2 r k
åkerneset;o:1 k { rn e:2 s e t
åkerns;o:1 k { rn s
åkerodling;o:1 k e r U:2 d l i N
åkerraden;o:1 k { r r a:2 d e n
åkersork;o:1 k { r s o2 r k
åkerstedt;o:1 k { r s t e2 tt
åkersten;o:1 k { r s t e:2 n
åkerstolpar;o:1 k { r s t o2 l p a r
åkerstolparna;o:1 k { r s t o2 l p a rn a
åkerstolpen;o:1 k { r s t o2 l p e n
åkerström;o:1 k { r s t r &2 mm
åkervägen;o:1 k { r v e:2 g e n
åkervallen;o:1 k { r v a2 ll e n
åkg;o: k o: g e:1
akhyad;a1 k h y a d
akiko;a i:1 k o
akillesåkaren;a k i1 ll e s o:2 k a r e n
akilleshälar;a k i1 ll e s h e:2 l a r
akillespojkarna;a k i1 ll e s p o2 j k a rn a
akillessena;a k i1 ll e s s e:2 n a
akillessenan;a k i1 ll e s s e:2 n a n
akin;a k i1 nn
akita;a k i: t a
akiva;a k i:1 v a
akk;a: k o: k o:1
åkk;o1 kk
akka;a1 kk a
akkatalo;a1 kk a t a2 l o
akkavalta;a1 kk a v a2 l t a
akke;a1 kk e
äkkiä;{1 kk i {
äkkilähtö;{1 kk i l {2 h t &
äkkinen;{1 kk i n e n
akku;a1 kk U
akkun;a1 kk U n
akkuna;a1 kk U n a
akl;a: k o: e1 ll
åklagarämbete;o:1 k l a: g a r e2 mm b e: t e
åklagarbefogenheter;o:1 k l a: g a r b e f U:2 g e n h e: t { r
åklagarkontor;o:1 k l a: g a r k o n t U:2 r
åklagarmyndighetens;o:1 k l a: g a r m y2 n d i h e: t e n s
åklagarmyndigheter;o:1 k l a: g a r m y2 n d i h e: t { r
åklagarsamarbete;o:1 k l a: g a r s a2 mm a r b e: t e
åklagarväsendets;o:1 k l a: g a r v e:2 s e n d e t s
åklagas;o:1 k l a:2 g a s
akleja;a k l e1 jj a
aklejor;a k l e1 jj o r
åklinje;o:1 k l i2 n j e
åklinjen;o:1 k l i2 n j e n
åkö;o:1 k &:2
akolahti;a1 k o l a2 h t i
akolor;a k o l o:1 r
åkommorna;o:1 k o2 mm o rn a
åköströmmen;o:1 k &: s t r &2 mm e n
åköströmsbron;o:1 k &: s t r & m s b r U:2 n
akp;a:1 k o: p e:
akram;a1 k r a m
äkräs;{1 k r { s
akrobaten;a k r o b a:1 t e n
akrofobikern;a k r o f o:1 b i k { rn
akronym;a k r o n y:1 m
akropoliskullen;a k r o:1 p o l i s k u2 ll e n
akropolisrallyt;a k r o:1 p o l i s r a2 ll y t
akrylfärg;a k r y:1 l f {2 r i
akrylmålning;a k r y:1 l m o:2 l n i N
akrylmålningar;a k r y:1 l m o:2 l n i N a r
aksalu;a1 k s a l U
akseli;a1 k s e l i
aksoy;a1 k s o j
åkstil;o:1 k s t i:2 l
aksu;a1 k s U
åkta;o:1 k t a
äktar;e1 k t a r
åktekniken;o:1 k t e k n i:2 k e n
äktenskaps;e1 k t e n s k a:2 p s
äktenskapsarbete;e1 k t e n s k a: p s a r b e:2 t e
äktenskapsbegrepp;e1 k t e n s k a: p s b e g r e2 pp
äktenskapsdebatt;e1 k t e n s k a: p s d e b a2 tt
äktenskapsdialog;e1 k t e n s k a: p s d i a l o:2 g
äktenskapsfixare;e1 k t e n s k a: p s f i2 k s a r e
äktenskapsförmedlare;e1 k t e n s k a: p s f 9 m e:2 d l a r e
äktenskapsförordet;e1 k t e n s k a: p s f 9:2 r U: rd e t
äktenskapskandidat;e1 k t e n s k a: p s k a n d i d a:2 t
äktenskapskris;e1 k t e n s k a: p s k r i:2 s
äktenskapskurs;e1 k t e n s k a: p s k u2 r s
äktenskapskursen;e1 k t e n s k a: p s k u2 r s e n
äktenskapskurser;e1 k t e n s k a: p s k u2 r s { r
äktenskapskurserna;e1 k t e n s k a: p s k u2 r s { rn a
äktenskapslagen;e1 k t e n s k a: p s l a:2 g e n
äktenskapslagstiftning;e1 k t e n s k a: p s l a:2 g s t i f t n i N
äktenskapsparternas;e1 k t e n s k a: p s p a:2 r t { rn a s
äktenskapsrådgivaren;e1 k t e n s k a: p s r o:2 d j i: v a r e n
äktenskapsrättens;e1 k t e n s k a: p s r e2 tt e n s
äktenskapsstriden;e1 k t e n s k a: p s s t r i:2 d e n
akterparti;a1 k t { r p a r t i:2
aktersnurra;a1 k t { r s n u2 rr a
aktertanken;a1 k t { r t a2 N k e n
åktes;o:1 k t e s
äkthet;e1 k t h e:2 t
äktheten;e1 k t h e:2 t e n
äkthetens;e1 k t h e:2 t e n s
aktia;a1 k t i a
aktiabankens;a1 k t s i a b a2 N k e n s
aktiastiftelsen;a1 k t s i a s t i2 f t e l s e n
aktiastiftelsens;a1 k t i a s t i2 f t e l s e n s
åktiden;o:1 k t i:2 d e n
aktieägaravtalet;a1 k t s i e e: g a r a:2 v t a: l e t
aktieägarens;a1 k t s i e e:2 g a r e n s
aktieandelar;a1 k t s i e a2 n d e l a r
aktieboksförfattare;a1 k t s i e b U: k s f 9 f a2 tt a r e
aktiebolagets;a1 k t s i e b U:2 l a: g e t s
aktiebolagsform;a1 k t s i e b U: l a: g s f o2 r m
aktiebostäder;a1 k t s i e b U:2 s t e: d { r
aktiebrevet;a1 k t s i e b r e:2 v e t
aktiechef;a1 k t s i e S e:2 f
aktieemission;a1 k t s i e e m i S U:2 n
aktiefabrik;a1 k t s i e f a b r i:2 k
aktielägenheten;a1 k t s i e l e:2 g e n h e: t e n
aktielägenheter;a1 k t s i e l e:2 g e n h e: t { r
aktielokalen;a1 k t s i e l U k a:2 l e n
aktielokaler;a1 k t s i e l U k a:2 l { r
aktiemarknader;a1 k t s i e m a2 r k n a d { r
aktiemarknaderna;a1 k t s i e m a2 r k n a d { rn a
aktieplaceringar;a1 k t s i e p l a s e:2 r i N a r
aktiesparkontot;a1 k t s i e s p a:2 r k o n t U
aktiesplit;a1 k t s i e s p l i2 t
aktiestock;a1 k t s i e s t o2 kk
aktiestocken;a1 k t s i e s t o2 kk e n
aktiestrateg;a1 k t s i e s t r a t e:2 g
aktietävlingen;a1 k t s i e t e:2 v l i N e n
aktig;a1 k t i g
aktigt;a1 k t i t
aktiivisen;a2 k t i: v i s e n
aktion;a k tj U:1 n
aktivast;a1 k t i: v a s t
aktivaste;a1 k t i: v a s t e
aktiverande;a k t i v e:1 r a n d e
aktiverats;a k t i v e:1 r a t s
aktiveringen;a k t i v e:1 r i N e n
aktiveringsmodell;a k t i v e:1 r i N s m U d e2 ll
aktividrottare;a1 k t i: v i:2 d r o tt a r e
aktivismen;a k t i v i1 s m e n
aktivisten;a k t i v i1 s t e n
aktivisternas;a k t i v i1 s t { rn a s
aktivistgruppen;a k t i v i1 s t g r u2 pp e n
aktivistgrupper;a k t i v i1 s t g r u2 pp { r
aktivistisk;a k t i v i1 s t i s k
aktivistutbildning;a k t i v i1 s t u:2 t b i l d n i N
aktivitetsart;a k t i v i t e:1 t s a:2 r t
aktivitetscenter;a k t i v i t e:1 t s s e2 n t { r
aktivitetscentret;a k t i v i t e:1 t s s e2 n t r e t
aktivitetsdag;a k t i v i t e:1 t s d a:2 g
aktivitetseftermiddag;a k t i v i t e:1 t s e2 f t { r m i dd a: g
aktivitetskvällen;a k t i v i t e:1 t s k v e2 ll e n
aktivitetsmätare;a k t i v i t e:1 t s m e:2 t a r e
aktivitetspark;a k t i v i t e:1 t s p a2 r k
aktivitetsparken;a k t i v i t e:1 t s p a2 r k e n
aktivitetsparty;a k t i v i t e:1 t s p a:2 r t y
aktivitetstorget;a k t i v i t e:1 t s t o2 r j e t
aktningen;a1 k t n i N e n
aktningsfullt;a1 k t n i N s f u2 l t
aktörers;a k t 9:1 r { r s
aktru;a1 k t r u
åkts;o:1 k t s
aktualisering;a k t u a l i s e:1 r i N
aktualiseringen;a k t u a l i s e:1 r i N e n
aktualitets;a k t u a l i t e:1 t s
aktualitetsdokumentär;a k t u a l i t e:1 t s d o k u m e n t {:2 r
aktualitetskommunikation;a k t u a l i t e:1 t s k o m u n i k a tj U:2 n
aktualitetsprincipen;a k t u a l i t e:1 t s p r i n s i:2 p e n
aktualitetsprogram;a k t u a l i t e:1 t s p r o g r a2 mm
aktualitetsredaktion;a k t u a l i t e:1 t s r e d a k tj U:2 n
aktualitetssatir;a k t u a l i t e:1 t s s a t i:2 r
aktualitetsverksamhet;a k t u a l i t e:1 t s v {2 r k s a m h e: t
åkturerna;o:1 k t u:2 r { rn a
akun;a1 k U n
akupunkturförening;a k u p u N k t u:1 r f 9 r e:2 n i N
akutambulans;a k u:1 t a m b u l a2 n s
akutarbete;a k u:1 t a r b e:2 t e
akutåtgärd;a k u:1 t o: t j {: rd
akutavdelning;a k u:1 t a:2 v d e: l n i N
akutavdelningen;a k u:1 t a: v d e:2 l n i N e n
akutblodgivare;a k u:1 t b l U: d j i:2 v a r e
akutens;a k u:1 t e n s
akutiska;a k u:1 t i s k a
akutjouren;a k u:1 t S U:2 r e n
akutkirurgi;a k u:1 t tj i r u r g i:2
akutläkare;a k u:1 t l e:2 k a r e
akutpoliklinik;a k u:1 t p o l i k l i n i:2 k
akutpolikliniken;a k u:1 t p o l i k l i n i:2 k e n
akutpreventivmedel;a k u:1 t p r e v e n t i:2 v m e: d e l
akutproblem;a k u:1 t p r o b l e:2 m
akutsjuka;a k u:1 t S u:2 k a
akutsjukvårdsekonomi;a k u:1 t S u: k v o: rd s e k o n o m i:2
akutsjukvårdsområdet;a k u:1 t S u: k v o: rd s o2 mm r o: d e t
akutvårdare;a k u:1 t v o:2 rd a r e
akutvårdaren;a k u:1 t v o:2 rd a r e n
akutvårdarna;a k u:1 t v o:2 rd a rn a
akutvårdsbesök;a k u:1 t v o: rd s b e s &:2 k
akutvårdsuppdrag;a k u:1 t v o: rd s u2 pp d r a: g
akvaponi;a k v a p o n i:1
akvaponik;a k v a p o n i:1 k
akvarellevenemang;a k v a r e1 ll e v e n e m a2 NN
akvarellister;a k v a r e l i1 s t { r
akvarellkonst;a k v a r e1 ll k o2 n s t
akvarellkurser;a k v a r e1 ll k u2 r s { r
akvarellmåleriet;a k v a r e1 ll m o l e r i:2 e t
akvarellmålning;a k v a r e1 ll m o:2 l n i N
akvarellmålningar;a k v a r e1 ll m o:2 l n i N a r
akvariefiskarna;a k v a:1 r i e f i2 s k a rn a
akvart;a1 k v a r t
akvatoner;a1 k v a t U:2 n { r
älä;{1 l {
alaba;a l a1 b a
aladdin;a l a1 dd i n
aladdins;a l a1 dd i n s
alahärmän;a1 l a h {2 r m { n
alahuhta;a1 l a h U2 h t a
alaja;a1 l a j a
alajääski;a1 l a j {:2 s k i
alajan;a1 l a j a n
alajärven;a1 l a j {2 r v e n
alakare;a1 l a k a r e
alakorpi;a1 l a k o2 r p i
alakoskela;a1 l a k o2 s k e l a
alalle;a1 l a ll e
alamommo;a1 l a m o2 mm o
alamson;a1 l a m s o n
alan;a1 l a n
aland;a:1 l a n d
alandh;a:1 l a2 n d
alandhs;a:1 l a n d h s
alandia;a l a1 n d i a
alandias;a: l a:1 n d i a s
alandiastrings;a: l a1 n d i a s t r i2 N s
alandica;a l a1 n d i k a
alandicas;a l a1 n d i k a s
ålandsbanken;o:1 l a n d s b a2 N k e n
ålandsbankenkoncernens;o:1 l a n d s b a N k e N k o n s {:2 rn e n s
ålandsbankens;o:1 l a n d s b a2 N k e n s
ålandsbåtarna;o:1 l a n d s b o:2 t a rn a
ålandsbesök;o:1 l a n d s b e s &:2 k
ålandsbesöket;o:1 l a n d s b e s &:2 k e t
ålandsbördiga;o:1 l a n d s b 9:2 rd i g a
ålandsbördige;o:1 l a n d s b 9:2 rd i g e
ålandscupen;o:1 l a n d s k u2 pp e n
ålandsdelegationen;o:1 l a n d s d e l e g a tj U:2 n e n
ålandsdelegationens;o:1 l a n d s d e l e g a tj U:2 n e n s
ålandsfärjan;o:1 l a n d s f {2 r j a n
ålandsforskarna;o:1 l a n d s f o2 r s k a rn a
ålandsfrågan;o:1 l a n d s f r o:2 g a n
ålandsfuchsian;o:1 l a n d s f u2 k s i a n
ålandsfuchsians;o:1 l a n d s f u2 k s i a n s
ålandskalendern;o:1 l a n d s k a l e2 n d { rn
åländskan;o:1 l e2 n s k a n
ålandskanalen;o:1 l a n d s k a n a:2 l e n
åländske;o:1 l e n s k e
ålandskommittén;o:1 l a n d s k o m i t e:2 n
ålandskommitténs;o:1 l a n d s k o m i t e:2 n s
ålandskompostens;o:1 l a n d s k o m p o2 s t e n s
ålandskontoret;o:1 l a n d s k o n t U:2 r e t
åländskorna;o:1 l e n s k o rn a
åländskt;o:1 l e n s k t
ålandsloppet;o:1 l a n d s l o2 pp e t
ålandsmässan;o:1 l a n d s m e2 ss a n
ålandsmejeriet;o:1 l a n d s m e j e r i:2 e t
ålandsminister;o:1 l a n d s m i n i2 s t { r
ålandsministern;o:1 l a n d s m i n i2 s t { rn
ålandsöarnas;o:1 l a n d s &:2 a rn a s
ålandsöverenskommelsen;o:1 l a n d s & v { r e:2 n s k o mm e l s e n
ålandspannkaka;o:1 l a n d s p a2 nn k a: k a
ålandsplan;o:1 l a n d s p l a:2 n
ålandspolitik;o:1 l a n d s p U l i t i:2 k
ålandspriset;o:1 l a n d s p r i:2 s e t
ålandsserien;o:1 l a n d s s e:2 r i e n
ålandsspelen;o:1 l a n d s s p e:2 l e n
